#,Předmět,Přiřazeno,Stav,Priorita
6471,FO 311/2017 nájem sídla strany 05-10/2017,"",Nový,Normální
6456,FO 311/2017 nájem sídla strany 05-10/2017,Tobias Esner,Dokončen,Okamžitá
