#,Předmět,Přiřazeno,Stav,Priorita
6466,FO 299/2017 Proplacení propagace zasedání KF ÚsK 20. 5. v Chomutově,"",Nový,Normální
6437,FO 299/2017 Proplacení propagace zasedání KF ÚsK 20. 5. v Chomutově,Tobias Esner,Dokončen,Normální
